Дирхам ОАЭ,AED,784,ОАЭ
Афганский афгани,AFN,971,Афганистан
Албанский лек,ALL,8,Республика Албания
Армянский драм,AMD,51,Армения
Ангольская кванза,AOA,973,Ангола
Аргентинское песо,ARS,32,Аргентина
Австралийский доллар,AUD,36,Австралия
Азербайджанский манат,AZN,944,Азербайджан
Барбадосский доллар,BBD,52,Барбадос
Бангладешская така,BDT,50,Бангладеш
Болгарский лев,BGN,975,Болгария
Бахрейнский динар,BHD,48,Бахрейн
Бурундийский франк,BIF,108,Бурунди
Бермудский доллар,BMD,60,Бермудские о-ва
Брунейский доллар,BND,96,Бруней
Боливийский боливиано,BOB,68,Боливия
Бразильский реал,BRL,986,Бразилия
Багамский доллар,BSD,44,Багамские острова
Бутанский нгултрум,BTN,64,Бутан
Ботсванский пул,BWP,72,Ботсвана
Белорусский рубль,BYN,933,Белоруссия
Белизский доллар,BZD,84,Белиз
Канадский доллар,CAD,124,Канада
Конголезский франк,CDF,976,Конго
Швейцарский франк,CHF,756,Швейцария
Чилийское песо,CLP,152,Чили
Китайский юань Жэньминьби,CNY,156,Китай
Колумбийское песо,COP,170,Колумбия
Костариканский колон,CRC,188,Коста-Рика
Кубинское песо,CUP,192,Куба
Эскудо Кабо - Верде,CVE,132,Кабо Верде
Чешская крона,CZK,203,Чехия
Франк Джибути,DJF,262,Джибути
Датская крона,DKK,208,Дания
Доминиканское песо,DOP,214,Доминик. Р-ка
Алжирский динар,DZD,12,Алжир
Египетский фунт,EGP,818,Египет
Эфиопский бырр,ETB,230,Эфиопия
Евро,EUR,978,Еврозона
Доллар Фиджи,FJD,242,Фиджи
Английский фунт стерлингов,GBP,826,Великобритания
Грузинский лари,GEL,981,Грузия
Ганский седи,GHS,936,Гана
Гибралтарский фунт,GIP,292,Гибралтар
Гамбийский даласи,GMD,270,Габон
Гвинейский франк,GNF,324,Гвинея
Кетсаль,GTQ,320,Гватемала
Гайанский доллар,GYD,328,Гайана
Гонконгский доллаp,HKD,344,Гонконг
Лемпира,HNL,340,Гондурас
Хорватская куна,HRK,191,Хорватия
Гаитский гурд,HTG,332,Гаити
Венгерский форинт,HUF,348,Венгрия
Индонезийская рупия,IDR,360,Индонезия
Изpаильский шекель,ILS,376,Израиль
Индийская pупия,INR,356,Индия
Иракский динар,IQD,368,Ирак
Иранский риал,IRR,364,Иран
Исландская крона,ISK,352,Исландия
Ямайский доллар,JMD,388,Ямайка
Иорданский динар,JOD,400,Иордания
Японская иена,JPY,392,Япония
Кенийский шиллинг,KES,404,Кения
Киргизский сом,KGS,417,Киргизия
Камбоджийский риель,KHR,116,Камбоджа
Франк Коморских островов,KMF,174,Коморские о-ва
Северо-Корейская вона,KPW,408,Сев. Корея
Южнокорейский вон,KRW,410,Юж. Корея
Кувейтский динар,KWD,414,Кувейт
Доллар Каймановых островов,KYD,136,Каймановы о-ва
Казахстанский тенге,KZT,398,Казахстан
Кип Лаосской НДР,LAK,418,Лаос
Ливанский фунт,LBP,422,Ливан
Шри-Ланкийская рупия,LKR,144,Шри Ланка
Лоти,LSL,426,Лесото
Литовский лит,LTL,440,Литва
Латвийский лат,LVL,428,Латвия
Ливийский динар,LYD,434,Ливия
Марокканский дирхам,MAD,504,Марокко
Молдавский лей,MDL,498,Молдова
Малагасийский ариари,MGA,969,Мадагаскар
Македонский денар,MKD,807,Македония
Бирмский кьят,MMK,104,Бирма
Монгольский тугрик,MNT,496,Монголия
Мавританская угия,MRO,478,Мавритания
Маврикийская рупия,MUR,480,Маврикий
Мальдивская руфия,MVR,462,Мальдивские о-ва
Малавийская квача,MWK,454,Малави
Мексиканское песо,MXN,484,Мексика
Малайзийский ринггит,MYR,458,Малайзия
Мозамбикский метикал,MZN,943,Мозамбик
Доллар Намибии,NAD,516,Намибия
Нигерийская найра,NGN,566,Нигерия
Никарагуанская золотая кордоба,NIO,558,Никарагуа
Норвежская крона,NOK,578,Норвегия
Непальская рупия,NPR,524,Непал
Новозеландский доллар,NZD,554,Новая Зеландия
Оманский риал,OMR,512,Оман
Перуанский новый соль,PEN,604,Перу
Кина Папуа-Новой-Гвинеи,PGK,598,Папуа-Нов Гвин.
Филиппинское песо,PHP,608,Филиппины
Пакистанская рупия,PKR,586,Пакистан
Польский злотый,PLN,985,Польша
Парагвайский гуарани,PYG,600,Парагвай
Катарский риал,QAR,634,Катар
Новый румынский лей,RON,946,Румыния
Сербский динар,RSD,941,Сербия
Российский рубль,RUB,643,Россия
Франк Руанды,RWF,646,Руанда
Саудовский риял,SAR,682,Сауд. Аравия
Доллар Соломоновых островов,SBD,90,Соломоновы о-ва
Сейшельская рупия,SCR,690,Сейшельск о-ва
Суданский фунт,SDG,938,Судан
Шведская крона,SEK,752,Швеция
Сингапурский доллар,SGD,702,Сингапур
Сьерра-Леонский леоне,SLL,694,Сьерра-Леоне
Сомалийский шиллинг,SOS,706,Сомали
Суринамский доллар,SRD,968,Суринам
Добра Сан-Томе,STD,678,Сан Томе
Сальвадорский колон,SVC,222,Эль-Сальвадор
Сирийский фунт,SYP,760,Сирия
Свазилендский лилангени,SZL,748,Свазиленд
Таиландский бат,THB,764,Таиланд
Таджикский сомони,TJS,972,Таджикистан
Новый туркменский манат,TMT,934,Туркмения
Тунисский динар,TND,788,Тунис
Паанга островов Тонга,TOP,776,О-ва Тонга
Новая турецкая лира,TRY,949,Турция
Доллар Тринидада и Тобаго,TTD,780,Тринидад и Тобаго
Новый тайваньский доллар,TWD,901,Тайвань
Танзанийский шиллинг,TZS,834,Танзания
Украинская гривна,UAH,980,Украина
Угандийский шиллинг,UGX,800,Уганда
Доллар США,USD,840,США
Уругвайское песо,UYU,858,Уругвай
Узбекский сум,UZS,860,Узбекистан
Венесуэльский боливар фуэрте,VEF,937,Венесуэла
Вьетнамский донг,VND,704,Вьетнам
Вануатский вату,VUV,548,Вануату
Тала,WST,882,Запад. Самоа
Франк КФА ВЕАС,XAF,950,Центральная Африканская Республика
Восточно-Карибский доллар,XCD,951,Гренада
Йеменский риал,YER,886,Йемен
Южноафриканский рэнд,ZAR,710,Южно-Африканская Республика
Замбийская квача,ZMW,967,Замбия
Доллаp Зимбабве,ZWL,932,Зимбабве
